Date,Year,Month,Station,Air_Temp_degC,Humidity_pct,Wind_Speed_m_s,Precipitation_mm,Cloud_Cover_pct,ENSO_Index,Sea_Surface_Temp_degC
2018-01-01,2018,1,North,8.75,71.2,4.54,85.9,46.2,0.05,12.95
2018-02-01,2018,2,Central,9.63,69.5,6.75,82.7,51.5,0.28,16.4
2018-03-01,2018,3,South,17.35,72.0,3.67,69.5,60.3,0.34,17.12
2018-04-01,2018,4,North,22.19,61.0,3.93,68.4,55.3,0.23,20.62
2018-05-01,2018,5,Central,20.28,60.3,5.77,90.1,47.9,0.14,23.84
2018-06-01,2018,6,South,22.66,67.5,4.53,0.0,26.0,0.25,25.83
2018-07-01,2018,7,North,24.02,60.4,4.99,52.5,16.9,0.13,22.68
2018-08-01,2018,8,Central,19.93,69.2,4.8,68.9,49.7,0.32,21.51
2018-09-01,2018,9,South,15.97,65.3,5.41,81.5,49.3,-0.1,19.44
2018-10-01,2018,10,North,9.96,73.5,6.69,NaN,66.5,0.13,13.45
2018-11-01,2018,11,Central,9.79,73.0,5.11,53.7,73.8,-0.12,11.32
2018-12-01,2018,12,South,8.4,77.3,5.77,102.2,68.7,-0.05,11.15
2019-01-01,2019,1,North,8.36,82.0,2.54,130.3,74.5,1.35,12.26
2019-02-01,2019,2,Central,13.57,65.9,4.94,51.3,63.8,1.28,15.69
2019-03-01,2019,3,South,,72.2,3.99,,61.4,1.04,18.44
2019-04-01,2019,4,North,NAN,66.7,3.54,57.8,40.5,0.92,20.06
2019-05-01,2019,5,Central,24.5,59.2,3.95,56.3,42.5,0.7,24.23
2019-06-01,2019,6,South,23.31,53.8,4.6,31.8,45.4,1.07,24.29
2019-07-01,2019,7,North,25.42,62.6,6.1,50.3,54.5,1.51,24.98
2019-08-01,2019,8,Central,20.45,62.9,3.41,93.6,44.3,1.21,21.03
2019-09-01,2019,9,South,15.71,NaN,5.04,87.8,61.3,1.06,17.74
2019-10-01,2019,10,North,10.31,74.6,4.42,123.1,57.8,1.22,15.46
2019-11-01,2019,11,Central,10.45,85.8,4.61,118.2,64.0,,
2019-12-01,2019,12,South,6.76,77.8,6.2,104.7,77.0,1.1,12.12
2020-01-01,2020,1,North,7.51,72.7,5.65,130.7,41.5,0.09,11.16
2020-02-01,2020,2,Central,10.95,75.4,6.6,94.7,45.4,0.06,15.31
2020-03-01,2020,3,South,17.04,71.1,4.81,93.2,37.2,0.19,17.33
2020-04-01,2020,4,North,21.24,72.3,4.16,58.5,21.0,0.12,21.58
2020-05-01,2020,5,Central,24.62,Unknown,4.73,59.1,36.5,0.17,22.64
2020-06-01,2020,6,South,25.86,62.8,5.29,39.7,Unknown,-0.03,24.97
2020-07-01,2020,7,North,27.73,69.5,5.21,79.5,41.2,0.21,23.14
2020-08-01,2020,8,Central,NaN,59.6,3.7,39.1,51.4,0.32,20.4
2020-09-01,2020,9,South,15.16,66.8,5.11,92.2,68.1,-0.07,18.68
2020-10-01,2020,10,North,10.12,69.9,5.27,80.8,76.9,-0.06,15.05
2020-11-01,2020,11,Central,9.39,75.8,8.02,118.1,64.6,0.27,12.05
2020-12-01,2020,12,South,9.11,72.1,7.25,111.5,83.2,NaN,12.79
2021-01-01,2021,1,North,8.12,81.0,3.98,132.4,66.5,0.68,12.32
2021-02-01,2021,2,Central,,73.4,4.66,101.1,51.0,0.4,15.03
2021-03-01,2021,3,South,14.64,62.6,3.24,Unknown,47.9,0.68,18.52
2021-04-01,2021,4,North,21.79,99999.0,4.29,63.5,31.2,0.48,21.02
2021-05-01,2021,5,Central,25.25,63.8,5.38,31.9,34.0,0.5,24.28
2021-06-01,2021,6,South,26.1,65.2,6.45,43.6,38.7,0.7,24.38
2021-07-01,2021,7,North,22.72,72.2,4.13,90.9,54.3,0.41,23.55
2021-08-01,2021,8,Central,21.04,80.1,4.22,79.0,69.6,0.32,22.58
2021-09-01,2021,9,South,16.33,72.1,2.42,59.6,38.4,0.4,17.42
2021-10-01,2021,10,North,12.01,69.6,4.8,62.7,NAN,0.53,13.1
2021-11-01,2021,11,Central,9.89,67.1,3.73,93.0,52.9,0.23,13.88
2021-12-01,2021,12,South,7.52,80.3,4.36,68.2,72.7,0.56,13.82
2022-01-01,2022,1,North,9.59,73.7,3.95,77.6,63.8,-0.13,12.26
2022-02-01,2022,2,Central,11.78,72.4,4.89,91.9,,0.13,13.46
2022-03-01,2022,3,South,16.68,66.9,2.89,100.4,66.1,-0.4,17.92
2022-04-01,2022,4,North,21.8,64.8,3.24,78.4,41.7,-0.16,21.23
2022-05-01,2022,5,Central,,67.5,7.56,7.3,38.2,-0.3,23.66
2022-06-01,2022,6,South,24.58,61.8,3.46,61.7,30.2,-0.17,23.82
2022-07-01,2022,7,North,99999.0,61.4,3.68,59.3,36.8,-0.01,24.33
2022-08-01,2022,8,Central,19.51,60.3,7.2,74.1,54.1,-0.07,21.9
2022-09-01,2022,9,South,15.66,61.6,8.49,110.6,52.7,-0.08,17.03
2022-10-01,2022,10,North,14.35,72.1,3.59,39.6,64.9,-0.07,15.54
2022-11-01,2022,11,Central,6.81,77.5,4.56,79.3,69.7,-0.01,14.25
2022-12-01,2022,12,South,8.9,87.8,5.41,108.0,82.8,-0.2,11.84
2023-01-01,2023,1,North,5.38,78.4,,57.5,61.3,-0.03,12.4
